indoor_temp_c,outdoor_temp_c,ac_power_kw,occupancy,horizon_minutes,temp_delta_c
23.42,29.02,1.9,1,15.0,0.006
26.54,19.74,1.2,0,15.0,-0.106
26.89,26.17,1.9,1,15.0,-0.07
20.06,25.45,2.5,1,15.0,-0.072
24.09,23.2,1.9,0,15.0,-0.174
23.34,32.47,1.9,1,15.0,0.0
21.78,27.92,0.0,1,15.0,0.046
20.96,19.62,2.5,0,15.0,-0.098
22.7,22.4,2.5,0,15.0,0.045
27.54,31.67,1.9,1,15.0,-0.142
22.59,19.52,0.0,1,15.0,0.055
24.15,35.02,2.5,1,15.0,-0.059
25.62,27.9,1.2,1,15.0,-0.026
22.91,27.61,1.9,1,15.0,-0.057
27.77,29.85,2.5,1,15.0,-0.113
27.7,34.49,1.2,0,15.0,-0.038
22.01,24.96,2.5,0,15.0,-0.081
23.98,31.56,1.2,1,15.0,-0.069
22.41,29.31,1.9,1,15.0,-0.013
22.28,23.34,2.5,0,15.0,-0.121
20.3,35.57,2.5,0,15.0,-0.071
24.88,33.95,0.0,1,15.0,0.036
24.02,31.17,1.9,1,15.0,0.009
20.41,35.01,1.2,1,15.0,0.01
22.23,35.35,2.5,1,15.0,-0.021
27.27,32.17,2.5,0,15.0,-0.112
21.92,34.74,1.2,0,15.0,0.049
21.16,31.95,1.9,0,15.0,0.004
23.92,31.6,0.0,0,15.0,0.117
27.89,30.37,0.0,1,15.0,0.01
21.94,33.05,2.5,1,15.0,-0.019
25.38,21.17,1.2,1,15.0,-0.069
26.09,35.62,2.5,1,15.0,-0.003
21.9,35.44,1.2,0,15.0,-0.006
25.83,18.58,0.0,1,15.0,-0.007
22.94,34.52,1.9,1,15.0,-0.025
25.06,20.58,1.2,1,15.0,-0.077
25.07,24.7,0.0,0,15.0,0.002
24.29,32.87,2.5,1,15.0,-0.05
20.72,21.22,1.2,1,15.0,-0.052
26.68,34.36,1.9,0,15.0,-0.033
22.57,34.64,2.5,0,15.0,0.02
21.49,28.15,2.5,1,15.0,-0.031
20.33,18.13,0.0,1,15.0,0.026
24.73,23.74,1.2,0,15.0,-0.076
25.42,30.34,2.5,1,15.0,-0.116
20.13,37.62,1.9,0,15.0,0.052
24.1,30.64,1.2,1,15.0,0.021
21.81,23.2,1.9,0,15.0,-0.017
25.16,30.68,2.5,1,15.0,-0.101
21.39,28.8,1.9,0,15.0,-0.052
25.53,33.6,0.0,0,15.0,-0.02
23.09,20.14,1.9,0,15.0,-0.116
27.49,33.22,1.2,0,15.0,0.019
21.1,28.83,1.9,1,15.0,-0.057
22.73,37.26,1.9,0,15.0,0.023
20.91,24.84,0.0,1,15.0,0.018
27.4,30.65,1.9,0,15.0,-0.053
27.02,36.64,1.9,0,15.0,-0.076
22.06,20.05,2.5,0,15.0,-0.118
25.28,36.74,2.5,0,15.0,-0.166
26.54,31.76,1.2,0,15.0,-0.031
24.44,19.36,2.5,1,15.0,-0.201
24.24,24.02,2.5,1,15.0,-0.061
21.93,32.16,2.5,1,15.0,-0.02
20.74,19.35,2.5,1,15.0,-0.097
27.18,29.64,0.0,1,15.0,0.078
27.2,24.92,2.5,0,15.0,-0.161
25.06,30.42,0.0,1,15.0,0.103
22.71,18.91,0.0,1,15.0,0.02
22.79,35.43,2.5,1,15.0,-0.047
25.81,37.47,1.9,1,15.0,0.029
27.18,37.38,0.0,0,15.0,0.013
27.1,32.99,1.9,1,15.0,-0.081
26.24,20.6,1.9,1,15.0,-0.137
25.14,33.17,2.5,1,15.0,-0.084
20.67,18.49,1.2,1,15.0,-0.104
21.29,18.44,2.5,0,15.0,-0.077
27.19,24.47,1.2,0,15.0,-0.078
24.85,27.77,1.2,1,15.0,-0.02
20.07,33.41,2.5,1,15.0,-0.057
20.81,31.67,2.5,0,15.0,-0.123
25.31,26.92,1.2,0,15.0,-0.033
20.04,23.47,2.5,0,15.0,-0.168
21.29,37.94,1.2,0,15.0,0.037
24.39,26.52,1.9,1,15.0,-0.124
25.54,27.03,2.5,1,15.0,-0.02
25.22,21.27,1.9,0,15.0,-0.069
21.79,33.9,0.0,0,15.0,0.072
25.7,31.87,1.9,0,15.0,0.001
21.9,22.42,1.9,0,15.0,-0.115
22.6,19.65,1.2,1,15.0,-0.045
25.97,31.61,1.9,1,15.0,-0.042
25.2,31.09,2.5,1,15.0,-0.064
26.79,23.47,1.2,0,15.0,-0.02
25.26,37.02,0.0,1,15.0,0.098
24.55,21.02,2.5,1,15.0,-0.116
20.75,26.65,0.0,1,15.0,-0.03
22.94,36.87,1.9,1,15.0,-0.042
22.12,26.39,2.5,0,15.0,-0.092
21.95,30.77,2.5,0,15.0,-0.058
27.78,25.95,0.0,0,15.0,-0.055
23.14,23.48,2.5,0,15.0,-0.012
27.14,37.68,2.5,0,15.0,0.009
25.05,26.19,2.5,1,15.0,-0.077
26.36,35.88,1.9,1,15.0,-0.025
24.02,22.6,0.0,1,15.0,-0.013
24.62,22.26,2.5,0,15.0,-0.162
23.94,18.62,1.2,1,15.0,-0.076
21.56,31.03,1.2,1,15.0,0.013
25.78,25.37,1.2,1,15.0,-0.102
22.25,35.29,1.2,1,15.0,0.036
20.19,27.46,1.9,1,15.0,-0.047
25.16,37.36,2.5,1,15.0,-0.116
21.42,21.71,0.0,0,15.0,-0.032
27.52,35.37,2.5,0,15.0,-0.083
27.63,33.53,1.9,0,15.0,0.025
27.32,33.42,1.2,0,15.0,0.004
22.96,34.9,1.9,0,15.0,-0.071
20.12,33.22,2.5,1,15.0,-0.016
27.43,30.52,0.0,1,15.0,-0.041
23.43,20.62,1.9,1,15.0,-0.053
27.73,18.65,0.0,0,15.0,-0.069
27.71,36.42,1.9,1,15.0,-0.036
26.82,30.33,0.0,1,15.0,0.076
22.36,33.93,0.0,0,15.0,0.014
23.08,27.63,1.2,1,15.0,-0.081
26.81,20.35,0.0,0,15.0,-0.059
22.54,20.5,1.2,0,15.0,-0.022
21.36,31.71,2.5,1,15.0,-0.111
24.45,26.61,2.5,0,15.0,-0.212
27.49,22.01,1.2,1,15.0,-0.098
25.57,27.83,1.2,1,15.0,-0.015
24.56,19.28,1.9,1,15.0,-0.062
20.78,29.64,1.9,0,15.0,-0.053
24.92,23.38,1.9,0,15.0,-0.109
27.92,33.95,2.5,0,15.0,-0.031
21.12,24.21,1.9,1,15.0,-0.139
24.15,27.1,0.0,1,15.0,0.004
27.02,18.23,0.0,0,15.0,-0.041
25.93,19.45,1.9,1,15.0,-0.099
25.58,25.85,0.0,1,15.0,-0.016
25.62,27.6,2.5,0,15.0,-0.098
22.88,30.0,0.0,1,15.0,-0.057
22.35,23.83,2.5,1,15.0,-0.126
26.47,31.9,1.2,0,15.0,-0.004
26.48,35.2,1.2,0,15.0,-0.043
26.94,33.6,1.2,1,15.0,-0.011
27.31,18.79,1.2,1,15.0,-0.079
24.09,27.61,0.0,1,15.0,0.009
24.01,20.1,1.9,1,15.0,-0.096
26.39,22.84,0.0,0,15.0,-0.058
25.2,37.73,2.5,0,15.0,-0.049
25.62,20.85,0.0,1,15.0,0.001
26.37,27.98,0.0,0,15.0,0.016
27.12,30.36,2.5,0,15.0,-0.116
22.7,32.05,1.2,1,15.0,0.011
23.0,29.19,1.2,1,15.0,0.013
20.75,18.2,1.2,1,15.0,-0.146
24.63,24.53,1.9,1,15.0,-0.035
20.29,28.35,2.5,0,15.0,-0.079
23.72,19.76,2.5,1,15.0,-0.113
24.34,25.01,0.0,0,15.0,0.052
22.29,18.66,1.9,1,15.0,-0.156
24.73,19.57,1.2,1,15.0,-0.107
20.24,25.94,1.9,1,15.0,-0.061
20.3,20.65,2.5,1,15.0,-0.137
26.58,29.35,2.5,1,15.0,-0.023
22.88,31.79,0.0,0,15.0,0.016
21.02,34.01,0.0,1,15.0,0.053
24.18,22.0,2.5,1,15.0,-0.112
26.16,21.35,1.2,0,15.0,-0.127
21.73,20.09,1.2,1,15.0,-0.075
24.98,30.73,1.9,1,15.0,-0.036
20.68,32.13,2.5,0,15.0,-0.06
20.41,18.63,2.5,1,15.0,-0.121
24.25,36.72,1.2,1,15.0,-0.002
24.33,19.04,1.2,1,15.0,-0.14
25.1,28.83,2.5,1,15.0,-0.074
25.81,32.18,0.0,1,15.0,0.109
27.81,35.42,2.5,1,15.0,-0.065
24.13,32.28,2.5,1,15.0,-0.053
22.58,34.03,1.2,0,15.0,0.039
26.36,24.79,1.2,1,15.0,-0.11
22.17,34.3,0.0,1,15.0,0.139
23.51,19.6,0.0,0,15.0,-0.013
20.63,35.9,1.9,1,15.0,0.069
20.2,28.95,2.5,1,15.0,-0.088
27.7,34.35,1.2,0,15.0,0.057
26.69,27.05,0.0,1,15.0,0.036
25.57,30.87,1.9,1,15.0,-0.03
23.27,28.53,1.9,1,15.0,-0.043
21.39,32.63,1.2,0,15.0,-0.0
21.25,19.63,1.2,0,15.0,-0.014
22.0,19.21,1.9,0,15.0,-0.094
24.39,22.94,0.0,1,15.0,-0.083
25.72,21.19,1.9,0,15.0,-0.154
25.28,35.44,2.5,1,15.0,-0.059
22.24,22.38,2.5,0,15.0,-0.097
27.64,37.52,1.2,0,15.0,-0.0
25.9,24.74,0.0,1,15.0,0.046
24.43,21.64,0.0,1,15.0,-0.09
24.89,33.79,2.5,0,15.0,-0.055
23.36,31.17,1.9,1,15.0,-0.11
21.98,27.96,1.2,0,15.0,0.011
22.85,29.11,1.9,1,15.0,-0.05
26.06,32.38,1.9,1,15.0,-0.029
20.12,22.57,1.9,0,15.0,-0.105
20.93,37.93,0.0,0,15.0,0.146
20.37,37.5,2.5,0,15.0,0.026
20.33,31.01,0.0,1,15.0,0.086
26.84,21.99,2.5,1,15.0,-0.14
25.63,31.6,1.2,0,15.0,0.004
23.79,19.44,1.2,1,15.0,-0.102
20.78,18.61,1.9,0,15.0,-0.062
23.93,23.15,2.5,0,15.0,-0.049
23.79,27.25,2.5,1,15.0,-0.046
21.39,35.37,2.5,1,15.0,-0.059
23.47,32.54,1.9,1,15.0,-0.016
23.19,32.85,1.9,1,15.0,-0.079
24.93,26.51,1.2,0,15.0,-0.021
25.08,24.92,0.0,1,15.0,0.02
20.36,25.42,2.5,0,15.0,-0.157
23.0,37.75,2.5,1,15.0,-0.072
25.01,18.8,0.0,0,15.0,-0.045
24.03,35.34,2.5,1,15.0,-0.057
26.85,29.57,1.9,0,15.0,-0.117
25.27,26.77,1.9,0,15.0,-0.06
21.3,32.51,2.5,1,15.0,-0.035
20.56,27.73,1.9,0,15.0,-0.052
25.14,35.47,1.9,1,15.0,-0.054
20.21,36.01,2.5,0,15.0,0.019
24.69,26.43,1.2,0,15.0,0.023
27.52,23.54,0.0,0,15.0,-0.041
24.6,29.85,1.9,0,15.0,-0.079
23.11,36.25,1.2,1,15.0,0.043
25.15,22.21,1.9,0,15.0,-0.114
23.67,30.46,1.9,1,15.0,-0.049
24.36,30.63,0.0,1,15.0,0.068
27.53,32.66,1.9,1,15.0,-0.129
23.09,20.63,0.0,1,15.0,0.042
27.69,32.32,0.0,1,15.0,0.032
27.24,36.18,0.0,1,15.0,0.037
21.57,21.59,1.2,0,15.0,-0.056
20.55,22.75,2.5,0,15.0,-0.1
20.81,37.43,1.2,1,15.0,-0.027
20.15,21.62,2.5,1,15.0,-0.04
20.76,35.09,2.5,1,15.0,-0.027
25.46,27.85,0.0,1,15.0,0.034
20.57,22.94,1.9,1,15.0,-0.03
22.55,35.41,0.0,1,15.0,0.034
26.76,26.91,1.9,1,15.0,-0.061
20.19,28.3,2.5,0,15.0,-0.076
26.52,25.18,0.0,1,15.0,0.03
22.25,29.86,1.9,0,15.0,-0.127
20.95,21.27,1.2,0,15.0,-0.055
25.57,25.82,1.9,1,15.0,-0.104
25.03,37.39,0.0,0,15.0,0.087
27.02,23.16,1.2,0,15.0,-0.055
25.88,31.13,1.9,0,15.0,-0.083
26.43,24.5,1.9,1,15.0,-0.12
22.26,33.47,1.9,1,15.0,-0.023
21.42,20.62,1.9,1,15.0,-0.121
26.0,37.4,1.9,1,15.0,0.016
26.45,27.08,1.2,1,15.0,-0.061
27.92,22.72,2.5,0,15.0,-0.256
23.3,19.47,1.2,1,15.0,-0.086
22.98,21.4,1.2,1,15.0,-0.1
26.21,28.4,1.2,1,15.0,-0.103
22.73,24.74,2.5,0,15.0,-0.149
27.45,34.58,0.0,1,15.0,0.047
26.87,26.62,2.5,1,15.0,-0.056
23.43,22.97,1.2,0,15.0,-0.043
26.01,30.34,1.9,1,15.0,-0.081
26.04,32.14,1.9,0,15.0,-0.032
20.82,21.34,1.2,0,15.0,-0.068
27.22,21.35,1.9,1,15.0,-0.141
24.04,18.73,1.2,0,15.0,-0.128
26.61,32.73,1.9,1,15.0,-0.117
22.56,31.28,2.5,1,15.0,-0.075
27.16,27.49,0.0,0,15.0,0.009
23.11,34.88,0.0,1,15.0,0.065
20.09,34.11,2.5,0,15.0,-0.049
27.24,29.71,2.5,0,15.0,-0.135
20.73,35.37,1.2,0,15.0,0.053
22.55,22.12,1.2,0,15.0,-0.108
27.6,20.24,1.2,0,15.0,-0.062
27.6,23.39,1.9,1,15.0,-0.145
24.59,19.14,1.2,1,15.0,-0.11
25.05,28.62,2.5,0,15.0,-0.149
23.59,36.73,0.0,1,15.0,0.056
22.35,18.79,1.9,1,15.0,-0.062
22.63,20.44,1.2,1,15.0,-0.042
25.38,27.04,1.9,1,15.0,-0.033
26.02,36.68,1.9,0,15.0,-0.004
26.33,24.32,1.2,0,15.0,-0.108
26.32,28.14,1.9,1,15.0,-0.084
20.73,18.83,0.0,1,15.0,-0.038
23.96,20.97,2.5,0,15.0,-0.074
20.46,37.73,2.5,0,15.0,-0.062
24.4,37.3,0.0,1,15.0,0.111
23.53,18.1,1.9,1,15.0,-0.076
27.1,37.04,1.2,1,15.0,0.078
22.81,30.78,1.9,1,15.0,-0.053
20.94,35.36,0.0,0,15.0,0.109
21.14,27.09,1.9,1,15.0,0.043
26.09,28.31,2.5,1,15.0,-0.12
24.95,27.78,1.9,0,15.0,-0.129
20.81,31.34,0.0,1,15.0,-0.013
20.67,20.79,2.5,1,15.0,-0.079
25.61,18.6,1.9,0,15.0,-0.198
20.58,24.16,1.9,1,15.0,-0.076
26.57,32.09,2.5,1,15.0,-0.06
25.65,22.04,1.2,1,15.0,-0.063
20.65,31.47,2.5,0,15.0,-0.033
20.68,37.4,1.2,0,15.0,0.049
27.89,19.88,0.0,1,15.0,0.01
22.99,31.45,0.0,0,15.0,0.01
22.97,26.88,2.5,1,15.0,-0.113
26.5,35.36,2.5,1,15.0,-0.089
27.58,21.54,0.0,0,15.0,0.0
27.89,31.85,1.2,1,15.0,0.008
26.03,34.76,0.0,1,15.0,0.07
23.01,36.89,2.5,0,15.0,0.014
20.67,31.66,0.0,1,15.0,0.017
26.22,27.94,2.5,1,15.0,-0.031
24.47,30.36,2.5,1,15.0,-0.014
23.39,35.38,0.0,1,15.0,0.099
27.25,29.41,1.2,1,15.0,0.033
20.89,18.61,1.9,1,15.0,-0.16
23.94,36.62,0.0,1,15.0,0.053
20.09,31.79,1.9,1,15.0,-0.046
23.75,31.53,0.0,1,15.0,0.075
20.45,22.31,1.9,0,15.0,-0.115
20.95,31.18,1.2,1,15.0,0.037
20.94,25.88,1.2,0,15.0,0.03
25.19,31.02,0.0,0,15.0,0.061
25.97,20.13,2.5,0,15.0,-0.131
24.67,31.16,1.9,1,15.0,-0.085
27.7,37.99,2.5,1,15.0,-0.084
23.0,18.96,2.5,1,15.0,-0.08
22.29,37.54,2.5,1,15.0,0.008
26.95,26.14,1.2,1,15.0,-0.056
21.79,35.42,0.0,1,15.0,0.062
27.71,33.65,0.0,1,15.0,-0.045
20.1,29.34,1.2,0,15.0,-0.044
27.76,32.77,1.2,0,15.0,0.052
20.35,35.57,0.0,1,15.0,0.037
27.13,26.08,2.5,1,15.0,-0.106
24.22,24.54,1.9,0,15.0,-0.042
27.94,31.35,1.9,0,15.0,-0.115
20.59,34.16,1.9,1,15.0,0.002
24.43,33.25,2.5,0,15.0,-0.024
27.75,33.96,0.0,1,15.0,0.038
24.18,26.71,1.2,1,15.0,0.079
25.04,34.36,0.0,1,15.0,-0.012
25.57,20.4,2.5,0,15.0,-0.097
23.64,28.89,1.2,1,15.0,-0.028
25.02,18.12,2.5,1,15.0,-0.115
24.67,24.49,1.9,1,15.0,-0.064
27.21,25.33,1.9,1,15.0,-0.121
20.36,25.92,2.5,0,15.0,-0.07
22.25,31.91,1.2,1,15.0,-0.071
27.6,25.77,1.2,1,15.0,-0.036
27.12,26.97,0.0,1,15.0,0.014
23.65,22.75,1.9,0,15.0,-0.063
24.96,25.47,0.0,1,15.0,0.048
22.22,22.55,0.0,1,15.0,0.02
21.5,19.46,2.5,0,15.0,-0.116
23.71,30.07,2.5,0,15.0,-0.11
22.83,31.36,0.0,1,15.0,0.022
24.67,30.39,1.9,0,15.0,-0.004
20.62,27.27,2.5,0,15.0,-0.016
27.8,25.6,0.0,0,15.0,-0.021
27.89,35.27,0.0,1,15.0,0.046
25.59,28.38,0.0,1,15.0,-0.017
24.29,27.58,0.0,1,15.0,0.069
22.48,18.51,0.0,0,15.0,0.005
26.51,24.82,0.0,1,15.0,0.072
25.48,25.6,2.5,1,15.0,-0.142
21.3,25.98,1.9,1,15.0,-0.07
27.29,29.6,0.0,1,15.0,0.025
26.58,28.67,1.2,0,15.0,-0.015
27.6,30.16,2.5,1,15.0,-0.102
25.81,33.3,2.5,0,15.0,-0.104
24.91,34.26,0.0,1,15.0,0.091
23.35,32.36,2.5,0,15.0,-0.031
27.46,37.11,0.0,0,15.0,0.018
26.93,18.36,1.9,0,15.0,-0.077
20.36,21.92,1.9,1,15.0,-0.026
20.21,18.15,2.5,0,15.0,-0.116
23.01,30.95,2.5,1,15.0,-0.06
26.48,35.96,1.2,1,15.0,0.025
27.9,22.87,2.5,0,15.0,-0.173
21.2,36.54,1.2,1,15.0,0.036
24.75,19.21,1.9,0,15.0,-0.201
23.05,36.69,1.9,1,15.0,0.03
27.76,25.03,0.0,1,15.0,-0.074
26.74,20.03,1.9,0,15.0,-0.061
26.71,27.72,1.2,0,15.0,-0.06
23.75,23.14,2.5,0,15.0,-0.122
23.32,23.7,0.0,1,15.0,-0.02
22.19,24.15,1.2,1,15.0,-0.051
20.45,34.06,2.5,1,15.0,0.025
26.92,28.78,0.0,1,15.0,-0.086
26.5,24.23,1.9,0,15.0,-0.045
28.0,30.21,1.2,1,15.0,-0.024
27.97,32.32,2.5,1,15.0,-0.132
24.44,23.45,0.0,0,15.0,-0.048
26.15,26.27,0.0,0,15.0,0.068
27.56,20.44,1.9,0,15.0,-0.161
26.8,21.62,2.5,1,15.0,-0.183
21.98,31.62,1.9,1,15.0,0.018
23.6,21.63,1.9,0,15.0,-0.081
21.03,28.5,2.5,1,15.0,-0.104
27.63,32.18,2.5,0,15.0,-0.076
24.85,20.14,2.5,1,15.0,-0.175
21.83,29.35,1.2,0,15.0,0.033
25.37,23.13,2.5,1,15.0,-0.078
24.95,37.26,0.0,1,15.0,0.093
22.87,27.67,1.9,1,15.0,-0.04
20.91,34.12,1.2,1,15.0,0.094
25.37,29.0,2.5,0,15.0,-0.09
24.16,18.87,1.2,0,15.0,-0.129
26.18,30.66,2.5,0,15.0,-0.068
24.16,37.03,1.2,0,15.0,0.102
26.82,30.03,1.9,1,15.0,-0.104
24.42,34.38,1.9,0,15.0,-0.043
24.49,35.68,0.0,0,15.0,0.08
27.01,22.56,0.0,1,15.0,-0.024
23.23,22.24,2.5,1,15.0,-0.153
21.07,30.22,1.9,1,15.0,0.015
20.23,26.22,1.2,0,15.0,0.073
26.04,34.8,1.2,0,15.0,0.004
24.96,36.0,1.2,1,15.0,-0.025
25.63,25.07,0.0,0,15.0,-0.064
21.7,22.74,1.2,0,15.0,-0.037
21.09,33.61,0.0,1,15.0,0.117
20.12,23.5,0.0,1,15.0,0.041
22.8,34.45,2.5,1,15.0,-0.043
24.72,26.47,1.2,0,15.0,-0.066
23.14,31.35,1.2,0,15.0,-0.051
23.5,19.91,1.9,1,15.0,-0.068
27.23,30.48,2.5,0,15.0,-0.056
22.79,27.04,1.9,1,15.0,-0.119
24.11,29.73,2.5,1,15.0,-0.013
26.27,21.36,1.2,1,15.0,-0.054
23.17,32.74,0.0,0,15.0,0.11
24.98,35.26,0.0,0,15.0,0.004
26.9,22.33,0.0,1,15.0,-0.077
27.6,19.91,0.0,1,15.0,-0.045
21.18,18.47,0.0,1,15.0,0.008
27.41,30.84,1.9,0,15.0,0.007
23.94,30.14,2.5,0,15.0,-0.048
22.07,28.93,1.2,1,15.0,-0.022
23.67,22.64,1.9,1,15.0,-0.128
27.84,25.82,2.5,1,15.0,-0.07
23.94,29.89,0.0,0,15.0,-0.005
22.63,27.94,2.5,1,15.0,-0.013
25.07,37.76,2.5,1,15.0,-0.049
21.92,20.73,0.0,1,15.0,0.06
20.61,31.9,0.0,1,15.0,0.093
21.03,26.09,0.0,0,15.0,0.023
21.02,26.56,1.2,1,15.0,-0.04
21.22,32.35,0.0,0,15.0,0.049
21.11,31.85,1.2,1,15.0,0.027
25.13,37.83,0.0,1,15.0,0.077
21.46,20.57,1.2,0,15.0,-0.081
22.77,20.08,2.5,1,15.0,-0.129
27.17,32.49,1.9,0,15.0,-0.051
23.79,29.57,2.5,1,15.0,-0.161
25.34,23.48,2.5,1,15.0,-0.1
21.38,19.59,0.0,0,15.0,-0.048
21.54,19.71,1.2,0,15.0,-0.109
20.33,35.88,1.9,1,15.0,-0.062
21.35,21.84,0.0,0,15.0,-0.068
22.23,24.47,0.0,1,15.0,-0.038
21.42,22.53,0.0,1,15.0,-0.019
20.71,25.1,2.5,1,15.0,-0.005
20.97,19.39,1.2,0,15.0,-0.082
23.69,28.38,1.2,1,15.0,-0.017
21.65,19.35,1.9,1,15.0,-0.078
22.91,34.01,1.2,0,15.0,0.014
24.03,22.67,1.2,1,15.0,-0.061
25.52,28.8,0.0,1,15.0,-0.026
20.31,35.6,0.0,1,15.0,0.146
26.4,31.02,2.5,0,15.0,-0.012
